match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
EUW1_7621747913,15.23.728.3286,420,2725,CLASSIC,1,30,69,432,-1,54,0,246,904,800,69,67,804,799,134,51,43,157,266,910,21,78,1,True
EUW1_7621749929,15.23.728.3286,420,1721,CLASSIC,1,904,84,432,800,114,0,904,246,134,799,58,24,64,55,202,60,893,76,39,81,43,1,True
EUW1_7621772487,15.23.728.3286,420,1597,CLASSIC,0,804,114,134,107,904,1,126,711,22,55,904,799,91,893,15,111,27,120,84,222,117,0,True
EUW1_7621805500,15.23.728.3286,420,1558,CLASSIC,0,111,246,91,142,78,1,91,246,-1,126,133,904,799,112,429,526,92,5,800,145,432,0,True
EUW1_7621807703,15.23.728.3286,420,1587,CLASSIC,1,904,107,23,555,98,0,103,55,800,246,54,517,120,887,145,78,2,59,84,81,43,1,True
EUW1_7621817054,15.23.728.3286,420,1691,CLASSIC,1,246,555,-1,24,90,0,67,904,800,555,517,19,107,69,236,432,39,234,105,202,40,1,True
EUW1_7621837778,15.23.728.3286,420,1416,CLASSIC,1,800,555,54,34,799,0,68,8,246,24,799,67,107,142,81,43,904,517,238,202,111,1,True
EUW1_7621842454,15.23.728.3286,420,1763,CLASSIC,0,246,555,78,84,799,1,91,517,246,164,133,904,266,55,18,526,238,120,134,221,12,0,True
EUW1_7621847659,15.23.728.3286,420,1954,CLASSIC,1,555,114,800,7,-1,0,804,904,35,122,517,58,234,4,202,99,68,799,950,145,60,1,True
EUW1_7621871409,15.23.728.3286,420,1417,CLASSIC,1,800,24,163,76,904,0,246,24,555,-1,145,39,30,234,236,43,19,517,910,81,267,1,True
EUW1_7621874488,15.23.728.3286,420,1341,CLASSIC,1,555,236,134,432,39,0,800,246,134,904,126,69,64,517,18,117,14,238,61,21,12,1,True
EUW1_7621899750,15.23.728.3286,420,1288,CLASSIC,0,246,517,78,111,432,1,78,432,246,107,98,904,245,104,202,76,39,799,13,222,60,0,True
EUW1_7621902365,15.23.728.3286,420,1028,CLASSIC,0,799,91,804,517,114,1,134,98,246,517,800,68,120,61,222,497,904,245,39,21,78,0,True
EUW1_7621906084,15.23.728.3286,420,1230,CLASSIC,0,134,54,30,83,29,1,84,517,-1,-1,799,133,266,268,222,60,904,5,67,800,497,0,True
EUW1_7621919251,15.23.728.3286,420,911,CLASSIC,0,39,-1,432,107,800,1,69,27,555,432,904,79,799,910,236,78,777,246,1,221,526,0,True
EUW1_7621920742,15.23.728.3286,420,1657,CLASSIC,0,8,246,800,555,901,1,69,134,904,133,68,24,64,90,236,432,126,121,34,147,235,0,True
